API VERSION: 1.0
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / WWW_USER Fri Sep 11 04:04:24 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 1500-Dec-20 20:05:09.3650 TT      
Stop  time      : A.D. 1001-Dec-22 00:13:13.4630 TT      
Step-size       : 0 steps
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.260910.p261207                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-10. PREDICTS-> 2026-DEC-06
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(TT)__HR:MN:SC.fff, , ,    ObsEcLon,   ObsEcLat,
*******************************************************
$$SOE
b1500-Dec-20 20:05:09.365, , , 270.0000000, -0.0000796,
b1499-Dec-21 01:59:34.241, , , 270.0000000,  0.0000858,
b1498-Dec-21 07:48:38.547, , , 270.0000000,  0.0000036,
b1497-Dec-20 13:35:07.898, , , 270.0000000, -0.0001324,
b1496-Dec-20 19:26:45.678, , , 270.0000000,  0.0000394,
b1495-Dec-21 01:04:07.821, , , 270.0000000, -0.0002381,
b1494-Dec-21 06:53:16.841, , , 270.0000000,  0.0000594,
b1493-Dec-20 12:47:44.462, , , 270.0000000, -0.0001507,
b1492-Dec-20 18:28:26.921, , , 270.0000000,  0.0000384,
b1491-Dec-21 00:24:21.065, , , 270.0000000, -0.0000685,
b1490-Dec-21 06:17:02.179, , , 269.9999999, -0.0001326,
b1489-Dec-20 12:03:23.711, , , 270.0000000,  0.0002140,
b1488-Dec-20 17:57:44.446, , , 270.0000000, -0.0001196,
b1487-Dec-20 23:43:08.095, , , 270.0000000,  0.0000923,
b1486-Dec-21 05:35:22.502, , , 270.0000000, -0.0002047,
b1485-Dec-20 11:33:35.907, , , 270.0000000, -0.0001596,
b1484-Dec-20 17:13:25.511, , , 270.0000000, -0.0000003,
b1483-Dec-20 23:05:22.337, , , 270.0000000, -0.0002087,
b1482-Dec-21 04:59:00.229, , , 270.0000000,  0.0001997,
b1481-Dec-20 10:47:21.278, , , 270.0000000, -0.0001206,
b1480-Dec-20 16:45:03.135, , , 270.0000000,  0.0000454,
b1479-Dec-20 22:32:28.166, , , 270.0000000, -0.0001555,
b1478-Dec-21 04:21:34.886, , , 270.0000000, -0.0002092,
b1477-Dec-20 10:14:33.061, , , 270.0000000,  0.0000771,
b1476-Dec-20 15:51:28.092, , , 270.0000000, -0.0000845,
b1475-Dec-20 21:39:53.695, , , 270.0000000,  0.0001406,
